Coder,Location,Date,Time,Meal,Party,Multitasking,Phone Placement,Phone Usage
Angela,Pines,03-04,15:20,1,lunch,phone,hand,app
Angela,Pines,03-04,15:22,1,lunch,phone,hand,app
Angela,Pines,03-04,15:24,3,lunch,phone,hand,app
Angela,Pines,03-04,15:26,1,lunch,work,up,no
Angela,Pines,03-04,15:28,2,lunch,social,none,na
Angela,Pines,03-04,15:30,1,lunch,work,none,na
Angela,Pines,03-04,15:32,1,lunch,work,up,no
Angela,Pines,03-04,15:34,1,lunch,phone,up,app
Angela,Pines,03-04,15:36,1,lunch,phone,hand,app
Angela,Pines,03-04,15:38,2,lunch,social,none,na
Angela,Pines,03-04,15:40,2,lunch,social,none,na
Angela,Pines,03-04,15:42,2,lunch,eat,up,no
Angela,Pines,03-04,15:44,4,lunch,phone,hand,call
Angela,Pines,03-04,15:46,1,lunch,eat,none,na
Angela,Pines,03-04,15:48,1,lunch,eat,up,no
Angela,Pines,03-04,15:50,1,lunch,phone,up,app
Angela,Roots,03-04,16:00,1,lunch,work,none,na
Angela,Roots,03-04,16:02,1,lunch,work,none,na
Angela,Roots,03-04,16:04,2,lunch,phone,hand,app
Angela,Roots,03-04,16:06,1,lunch,phone,hand,app
Angela,Roots,03-04,16:08,2,lunch,social,none,na
Angela,Roots,03-04,16:11,1,lunch,reading,none,na
Angela,Roots,03-04,16:14,3,lunch,work,none,na
Angela,Sixth,03-04,16:37,2,dinner,eat,up,no
Angela,Sixth,03-04,16:39,2,dinner,social,none,na
Angela,Sixth,03-04,16:41,2,dinner,social,none,na
Angela,Sixth,03-04,16:43,1,dinner,phone,propped,video
Angela,Sixth,03-04,16:45,2,dinner,phone,up,video
Angela,Sixth,03-04,16:47,2,dinner,social,down,no
Angela,Sixth,03-04,16:49,2,dinner,phone,hand,app
Angela,Sixth,03-04,16:51,2,dinner,work,none,na
Angela,Sixth,03-04,16:53,1,dinner,phone,hand,app
Angela,Sixth,03-04,16:55,1,dinner,eat,none,na
Angela,Sixth,03-04,16:57,2,dinner,social,none,na
Angela,Sixth,03-04,16:59,1,dinner,eat,none,na
Angela,Sixth,03-04,17:00,2,dinner,social,down,check
Angela,Sixth,03-04,17:02,1,dinner,phone,hand,app
Angela,Sixth,03-04,17:04,1,dinner,phone,hand,call
Angela,Sixth,03-04,17:06,1,dinner,phone,up,video
Angela,Sixth,03-04,17:08,2,dinner,social,down,no
Angela,Sixth,03-04,17:10,4,dinner,social,up,na
Angela,Sixth,03-04,17:12,1,dinner ,phone,hand,app
Charlize,Pines,03-04,15:20,1,lunch,phone,hand,app
Charlize,Pines,03-04,15:22,1,lunch,work,na,no
Charlize,Pines,03-04,15:24,5,lunch,social,hand,app
Charlize,Pines,03-04,15:26,1,lunch,work,down,check
Charlize,Pines,03-04,15:28,1,lunch,work,up,no
Charlize,Pines,03-04,15:30,2,lunch,phone,hand,app
Charlize,Pines,03-04,15:32,1,lunch,phone,propped,video
Charlize,Pines,03-04,15:34,1,lunch,work,down,no
Charlize,Pines,03-04,15:36,1,lunch,work,up,no
Charlize,Pines,03-04,15:38,2,lunch,eat,up,no
Charlize,Pines,03-04,15:42,1,lunch,phone,hand,call
Charlize,Pines,03-04,15:44,1,lunch,work,hand,hw
Charlize,Pines,03-04,15:46,1,lunch,other,hand,check
Charlize,Pines,03-04,15:48,1,lunch,phone,up,app
Charlize,Pines,03-04,15:50,1,lunch,work,none,na
Charlize,Roots,03-04,16:04,1,lunch,work,none,na
Charlize,Roots,03-04,16:06,1,lunch,work,up,check
Charlize,Roots,03-04,16:08,1,lunch,work,up,check
Charlize,Roots,03-04,16:10,1,lunch,reading,down,check
Charlize,Roots,03-04,16:12,1,lunch,eat,up,video
Charlize,Roots,03-04,16:14,1,lunch,phone,up,call
Charlize,Sixth,03-04,16:36,2,dinner,eat,none,na
Charlize,Sixth,03-04,16:38,2,dinner,social,hand,app
Charlize,Sixth,03-04,16:40,2,dinner,social,down,check
Charlize,Sixth,03-04,16:42,3,dinner,eat,hand,app
Charlize,Sixth,03-04,16:44,3,dinner,social,down,no
Charlize,Sixth,03-04,16:46,2,dinner,social,none,na
Charlize,Sixth,03-04,16:48,2,dinner,social,up,no
Charlize,Sixth,03-04,16:50,2,dinner,eat,down,no
Charlize,Sixth,03-04,16:52,2,dinner,social,propped,app
Charlize,Sixth,03-04,16:54,2,dinner,social,down,no
Charlize,Sixth,03-04,16:56,1,dinner,phone,hand,app
Charlize,Sixth,03-04,16:58,1,dinner,phone,up,app
Charlize,Sixth,03-04,17:00,4,dinner,social,up,no
